Airline,Source,Destination,Total_Stops,Price,Duration_in_minutes,Number_of_Stops,Journey_year,Journey_month,Journey_day,Dep_hour,Dep_minute,Arr_hour,Arr_minute
IndiGo,Banglore,New Delhi,non-stop,3897,170,0,2019,3,24,22,20,1,10
Air India,Kolkata,Banglore,2 stops,7662,445,2,2019,5,1,5,50,13,15
Jet Airways,Delhi,Cochin,2 stops,13882,1140,2,2019,6,9,9,25,4,25
IndiGo,Kolkata,Banglore,1 stop,6218,325,1,2019,5,12,18,5,23,30
IndiGo,Banglore,New Delhi,1 stop,13302,285,1,2019,3,1,16,50,21,35
SpiceJet,Kolkata,Banglore,non-stop,3873,145,0,2019,6,24,9,0,11,25
Jet Airways,Banglore,New Delhi,1 stop,11087,930,1,2019,3,12,18,55,10,25
Jet Airways,Banglore,New Delhi,1 stop,22270,1265,1,2019,3,1,8,0,5,5
Jet Airways,Banglore,New Delhi,1 stop,11087,1530,1,2019,3,12,8,55,10,25
Multiple carriers,Delhi,Cochin,1 stop,8625,470,1,2019,5,27,11,25,19,15
Air India,Delhi,Cochin,1 stop,8907,795,1,2019,6,1,9,45,23,0
IndiGo,Kolkata,Banglore,non-stop,4174,155,0,2019,4,18,20,20,22,55
Air India,Chennai,Kolkata,non-stop,4667,135,0,2019,6,24,11,40,13,55
Jet Airways,Kolkata,Banglore,1 stop,9663,730,1,2019,5,9,21,10,9,20
IndiGo,Kolkata,Banglore,non-stop,4804,155,0,2019,4,24,17,15,19,50
Air India,Delhi,Cochin,2 stops,14011,1595,2,2019,3,3,16,40,19,15
SpiceJet,Delhi,Cochin,1 stop,5830,270,1,2019,4,15,8,45,13,15
Jet Airways,Delhi,Cochin,1 stop,10262,1355,1,2019,6,12,14,0,12,35
Air India,Delhi,Cochin,2 stops,13381,1380,2,2019,6,12,20,15,19,15
Jet Airways,Delhi,Cochin,1 stop,12898,1235,1,2019,5,27,16,0,12,35
GoAir,Delhi,Cochin,1 stop,19495,310,1,2019,3,6,14,10,19,20
Air India,Banglore,New Delhi,1 stop,6955,920,1,2019,3,21,22,0,13,20
IndiGo,Banglore,Delhi,non-stop,3943,170,0,2019,4,3,4,0,6,50
IndiGo,Banglore,Delhi,non-stop,4823,175,0,2019,5,1,18,55,21,50
Jet Airways,Kolkata,Banglore,1 stop,7757,800,1,2019,5,6,18,55,8,15
